Lithology,GeologicalFormationThickness(m),ReservoirThickness(m),GasPermeability(mD),LiquidPermeability(mD),RFC_P10,RFC_P25,RFC_P50,RFC_P75,RFC_P90
Sandstone,28.3464,28.35,0.003,0.00066,0.00441,0.00735,0.01304,0.02305,0.03869
Sandstone,22.2504,22.25,0.003,0.00066,0.00346,0.00576,0.01023,0.01809,0.03037
Sandstone,23.7744,23.77,0.003,0.00066,0.0037,0.00616,0.01093,0.01933,0.03244
Sandstone,2.1336,2.13,1,0.79013,0.39668,0.66065,1.1725,2.0735,3.4803
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,22.2504,22.25,0.003,0.00066,0.00346,0.00576,0.01023,0.01809,0.03037
Sandstone,23.7744,23.77,0.003,0.00066,0.0037,0.00616,0.01093,0.01933,0.03244
Sandstone,26.2128,26.21,0.003,0.00066,0.00408,0.00679,0.01205,0.02131,0.03577
Sandstone,3.9624,3.96,0.003,0.00076,0.00071,0.00118,0.0021,0.00371,0.00622
Sandstone,3.9624,3.96,0.003,0.00076,0.00071,0.00118,0.0021,0.00371,0.00622
Sandstone,3.3528,3.35,2,1.59302,2.4767,3.3518,4.7054,6.595,8.9336
Sandstone,2.7432,2.74,0.003,0.00059,0.00038,0.00063,0.00113,0.00199,0.00334
Sandstone,1.524,1.52,1,0.77848,0.2789,0.4645,0.82438,1.4579,2.447
Limestone,60.086631,60.09,15.3,11.52217,321.32,434.86,610.47,855.63,1159
Limestone,60.086631,60.09,15.3,11.52217,321.32,434.86,610.47,855.63,1159
Limestone,60.086631,60.09,15.3,11.52217,321.32,434.86,610.47,855.63,1159
Limestone,60.086631,60.09,15.3,11.52217,321.32,434.86,610.47,855.63,1159
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,6.7056,6.71,1,0.7585,1.1996,1.9979,3.5458,6.2705,10.525
Sandstone,98.1456,98.15,0.1,0.05566,1.2876,2.1445,3.806,6.7307,11.297
Sandstone,14.065405,14.07,2,1.59302,10.402,14.078,19.763,27.699,37.521
Limestone,26.2128,26.21,22,17.16191,106.02,176.57,313.38,554.19,930.19
Sandstone,67.056,67.06,5,4.30092,133.85,181.15,254.3,356.43,482.82
Sandstone,17.6784,17.68,0.1,0.05419,0.22582,0.37609,0.66748,1.1804,1.9813
Limestone,7.9248,7.92,22,17.16191,32.037,53.356,94.694,167.46,281.08
Sandstone,17.6784,17.68,0.1,0.05419,0.22582,0.37609,0.66748,1.1804,1.9813
Sandstone,14.0208,14.02,0.1,0.0517,0.17084,0.28453,0.50498,0.89303,1.4989
Sandstone,14.0208,14.02,0.1,0.0517,0.17084,0.28453,0.50498,0.89303,1.4989
Sandstone,14.0208,14.02,0.1,0.0517,0.17084,0.28453,0.50498,0.89303,1.4989
Sandstone,9.144,9.14,0.1,0.05934,0.12784,0.21291,0.37786,0.66822,1.1216
Sandstone,20.1168,20.12,0.1,0.05419,0.25698,0.428,0.75959,1.3433,2.2547
Sandstone,2.4384,2.44,1,0.7585,0.43622,0.72651,1.2894,2.2802,3.8272
